날짜	수력발전량	강수량
Jan.19	99192	8
Feb.19	73713	32.2
Mar.19	99406	39.4
Apr.19	130594	78.9
May.19	150493	56.7
Jun.19	126055	150
Jul.19	122607	226.5
Aug.19	116241	136.9
Sep.19	101395	223
Oct.19	161652	160.5
Nov.19	82209	57.4
Dec.19	99844	26.5
Jan.20	98765	83.7
Feb.20	90242	58.7
Mar.20	123227	29.2
Apr.20	110118	41
May.20	138890	103.5
Jun.20	141119	182.9
Jul.20	215906	427.7
Aug.20	539141	420.8
Sep.20	355648	219.1
Oct.20	128391	10.5
Nov.20	101212	40.8
Dec.20	108222	7.8
Jan.21	105365	19.9
Feb.21	78543	20.1
Mar.21	95401	110.7
Apr.21	105835	76.3
May.21	142146	143.8
Jun.21	176695	91.6
Jul.21	180484	233.8
Aug.21	146165	288.4
Sep.21	145956	145.8
Oct.21	110951	53.9
Nov.21	89682	58
Dec.21	97814	7.2
Jan.22	106247	2.6
Feb.22	83701	3.5
Mar.22	112252	89.4
Apr.22	103372	59.4
May.22	120208	5.8
Jun.22	113681	184.7
Jul.22	120452	178.4
Aug.22	411962	311.5
Sep.22	257236	150.8
Oct.22	125391	77.6
Nov.22	95007	61.6
Dec.22	101109	15.2
Jan.23	100874	40.5
Feb.23	73178	15.2
Mar.23	100232	28.7
Apr.23	85953	66.3
May.23	107792	193.4
Jun.23	113815	210
Jul.23	402561	506.1
Aug.23	218615	299.6
Sep.23	255194	197.3
Oct.23	165575	17
Nov.23	98320	63.4
Dec.23	135418	102.9
